Date,p_up_gold
2015-06-01,0.6102060514626368
2015-06-02,0.668272350145009
2015-06-03,0.6495360975546107
2015-06-04,0.6282207649638105
2015-06-05,0.5902807779576866
2015-06-08,0.6335074648144959
2015-06-09,0.5938969698819345
2015-06-10,0.5916481157104398
2015-06-11,0.6564779672403712
2015-06-12,0.6621314973450796
2015-06-15,0.6696268514631833
2015-06-16,0.6714846511554184
2015-06-17,0.6839120851124013
2015-06-18,0.643018746353815
2015-06-19,0.64143745247639
2015-06-22,0.6495873685245794
2015-06-23,0.5873380730573435
2015-06-24,0.6282207649638105
2015-06-25,0.6155271121579049
2015-06-26,0.5925755077684614
2015-06-29,0.596605394532541
2015-06-30,0.6472956486834676
2015-07-01,0.6144752868910925
2015-07-02,0.5699705863224175
2015-07-06,0.5675782352154487
2015-07-07,0.619377531371722
2015-07-08,0.5417105650445704
2015-07-09,0.5875926067687761
2015-07-10,0.589254084854996
2015-07-13,0.6626548859840927
2015-07-14,0.6685969467614256
2015-07-15,0.6139788392592882
2015-07-16,0.5669321362450257
2015-07-17,0.5482062322885868
2015-07-20,0.625000817752815
2015-07-21,0.658208776542619
2015-07-22,0.6769060676935402
2015-07-23,0.6810183199252028
2015-07-24,0.6967776453236588
2015-07-27,0.701948324023371
2015-07-28,0.710880434652861
2015-07-29,0.710880434652861
2015-07-30,0.710880434652861
2015-07-31,0.710880434652861
2015-08-03,0.6992260400963717
2015-08-04,0.6992260400963717
2015-08-05,0.6646736439197986
2015-08-06,0.6646736439197986
2015-08-07,0.6801787158050085
2015-08-10,0.6120467625333487
2015-08-11,0.533483206606266
2015-08-12,0.5116903352525729
2015-08-13,0.4624743433581763
2015-08-14,0.43968983962254987
2015-08-17,0.4992758871547701
2015-08-18,0.4492514747886439
2015-08-19,0.5359262501542847
2015-08-20,0.5798170546652088
2015-08-21,0.5798170546652088
2015-08-24,0.5927573642599149
2015-08-25,0.5773994514310427
2015-08-26,0.6497598645337044
2015-08-27,0.6462467206673634
2015-08-28,0.6162359439546486
2015-08-31,0.6264838764388858
2015-09-01,0.6244503107683534
2015-09-02,0.5423421762030216
2015-09-03,0.5824999162122021
2015-09-04,0.561465253338038
2015-09-08,0.5946413615776477
2015-09-09,0.5653558184410563
2015-09-10,0.5766619458284244
2015-09-11,0.5627824390139723
2015-09-14,0.6412108360010995
2015-09-15,0.6109333993848327
2015-09-16,0.648535914679543
2015-09-17,0.6424635904972889
2015-09-18,0.6174456006112552
2015-09-21,0.6419324813098634
2015-09-22,0.6555620545639729
2015-09-23,0.6133658376900081
2015-09-24,0.6528690431026382
2015-09-25,0.6269832171987229
2015-09-28,0.6526438000711936
2015-09-29,0.662528191644625
2015-09-30,0.6714846511554184
2015-10-01,0.6526438000711936
2015-10-02,0.6481038787037812
2015-10-05,0.6060743256477418
2015-10-06,0.6739356313234673
2015-10-07,0.6753334250693358
2015-10-08,0.7255187570260552
2015-10-09,0.7277266413678765
2015-10-12,0.7236816707872137
2015-10-13,0.6873275017047857
2015-10-14,0.7038645522743268
2015-10-15,0.665313388464967
2015-10-16,0.660892271292938
2015-10-19,0.6739316089740507
2015-10-20,0.6502623626934433
2015-10-21,0.6605276813575726
2015-10-22,0.6128705404044952
2015-10-23,0.5992340315153047
2015-10-26,0.6420834299415353
2015-10-27,0.6654785241630455
2015-10-28,0.7372316046734089
2015-10-29,0.6373249355368812
2015-10-30,0.6426852276890562
2015-11-02,0.668272350145009
2015-11-03,0.602775084795376
2015-11-04,0.5384600519257285
2015-11-05,0.5582356050451158
2015-11-06,0.6162177566544983
2015-11-09,0.6382097440563271
2015-11-10,0.671417702846131
2015-11-11,0.6868269951041455
2015-11-12,0.6985644834168687
2015-11-13,0.7042085951534517
2015-11-16,0.7042085951534517
2015-11-17,0.7162722988083953
2015-11-18,0.71933911224548
2015-11-19,0.710880434652861
2015-11-20,0.7042085951534517
2015-11-23,0.7141684335457679
2015-11-24,0.720221514178489
2015-11-25,0.710880434652861
2015-11-27,0.6902246278699852
2015-11-30,0.7143236727253213
2015-12-01,0.7233747414905503
2015-12-02,0.6902246278699852
2015-12-03,0.6446581014711541
2015-12-04,0.43971605368443206
2015-12-07,0.39597097812050774
2015-12-08,0.3856051460585098
2015-12-09,0.401175311885444
2015-12-10,0.43269600548277776
2015-12-11,0.401175311885444
2015-12-14,0.44175043569791883
2015-12-15,0.49455530655477575
2015-12-16,0.3983812240649059
2015-12-17,0.5082804893888958
2015-12-18,0.4342872961206658
2015-12-21,0.43971605368443206
2015-12-22,0.3962939467486556
2015-12-23,0.4142750218488006
2015-12-24,0.3954608021908492
2015-12-28,0.4033102594172117
2015-12-29,0.43001319836742236
2015-12-30,0.4933544701721654
2015-12-31,0.450344949287647
2016-01-04,0.4377396978409826
2016-01-05,0.4377396978409826
2016-01-06,0.5934663229581094
2016-01-07,0.5313122705917788
2016-01-08,0.6362989512507685
2016-01-11,0.6207318541899776
2016-01-12,0.5622927195946753
2016-01-13,0.5826616957872379
2016-01-14,0.5899867744656813
2016-01-15,0.6508076537714524
2016-01-19,0.5244868248939542
2016-01-20,0.5802980540374444
2016-01-21,0.5848305850634026
2016-01-22,0.5395644007152575
2016-01-25,0.6697432191531789
2016-01-26,0.6888677903043824
2016-01-27,0.7028166424202512
2016-01-28,0.7243322762595972
2016-01-29,0.697754757340898
2016-02-01,0.7197344185137732
2016-02-02,0.722326467215696
2016-02-03,0.6836332888364389
2016-02-04,0.660213439816763
2016-02-05,0.6967360612342871
2016-02-08,0.6331274310668014
2016-02-09,0.6355756183417589
2016-02-10,0.6096611172217943
2016-02-11,0.6277686735721199
2016-02-12,0.6492485189603632
2016-02-16,0.6080987514074877
2016-02-17,0.6020830414025796
2016-02-18,0.5976113936005052
2016-02-19,0.6208038188570596
2016-02-22,0.6092162669184485
