p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,valid_n_trades,valid_total_return,valid_win_rate,valid_sharpe,valid_max_dd,test_n_trades,test_total_return,test_win_rate,test_sharpe,test_max_dd,forward_n_trades,forward_total_return,forward_win_rate,forward_sharpe,forward_max_dd,score
0.53,0.4,12,0.06,30,0,0.0,0.0,0.0,0.0,5,0.0099,0.4,0.24,-0.0423,5,0.2543,0.6,1.001,-0.059,0.07129375000000002
0.53,0.4,9,0.06,30,0,0.0,0.0,0.0,0.0,5,0.0099,0.4,0.24,-0.0423,5,0.2543,0.6,1.001,-0.059,0.07129375000000002
0.51,0.47,9,0.06,30,4,-0.0997,0.5,-2.136,-0.0997,8,0.0923,0.5,0.784,-0.0598,16,0.4088,0.5,1.254,-0.123,0.0668415
0.53,0.43,9,0.07,30,0,0.0,0.0,0.0,0.0,6,0.2134,0.5,1.555,-0.0423,7,0.1575,0.4286,0.632,-0.1179,0.06605
0.53,0.43,12,0.07,30,0,0.0,0.0,0.0,0.0,6,0.2134,0.5,1.555,-0.0423,7,0.1575,0.4286,0.632,-0.1179,0.06605
0.49,0.4,12,0.08,30,0,0.0,0.0,0.0,0.0,7,0.074,0.2857,0.527,-0.0632,7,0.2257,0.5714,0.951,-0.0409,0.065675
0.51,0.47,12,0.08,30,4,-0.1508,0.25,-2.761,-0.1508,8,0.0923,0.5,0.784,-0.0598,15,0.823,0.7333,2.224,-0.0851,0.065484375
0.53,0.47,6,0.08,30,4,-0.1472,0.5,-2.242,-0.1472,6,0.03,0.3333,0.329,-0.0859,13,0.8386,0.7692,2.173,-0.0785,0.06435
0.52,0.4,9,0.06,30,0,0.0,0.0,0.0,0.0,7,-0.0427,0.2857,-0.599,-0.0597,5,0.2543,0.6,1.001,-0.059,0.06406125000000001
0.52,0.4,12,0.06,30,0,0.0,0.0,0.0,0.0,7,-0.0427,0.2857,-0.599,-0.0597,5,0.2543,0.6,1.001,-0.059,0.06406125000000001
0.53,0.4,15,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0428,0.25,-1.485,-0.0504,5,0.2543,0.6,1.001,-0.059,0.06404750000000001
0.52,0.4,12,0.08,30,0,0.0,0.0,0.0,0.0,7,0.0997,0.2857,0.669,-0.0597,5,0.2056,0.6,0.798,-0.0785,0.0638625
0.52,0.4,9,0.08,30,0,0.0,0.0,0.0,0.0,7,0.0997,0.2857,0.669,-0.0597,5,0.2056,0.6,0.798,-0.0785,0.0638625
