p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,score,n_positive,median_return,mean_return,worst_year,best_year,no_trade_years
0.62,0.35,20,0.1,45,0.072,4,0.0238,0.0209,-0.2424,0.3109,0
0.62,0.4,20,0.1,30,0.072,4,0.0243,0.0124,-0.2178,0.1682,0
0.62,0.35,20,0.1,30,0.0713,4,0.0197,-0.0055,-0.2421,0.1385,0
0.52,0.35,20,0.12,30,0.0706,4,0.0148,-0.0286,-0.2064,0.0873,0
0.55,0.35,15,0.1,30,0.0706,4,0.0145,-0.0008,-0.2174,0.2452,0
0.55,0.35,20,0.1,30,0.0706,4,0.0148,-0.0286,-0.2412,0.1061,0
0.55,0.35,20,0.12,30,0.0706,4,0.0148,-0.0222,-0.2046,0.1061,0
0.48,0.35,15,0.1,45,0.07,4,0.0109,0.0258,-0.2357,0.1827,0
0.62,0.35,15,0.1,30,0.07,4,0.0107,-0.0122,-0.2475,0.1397,0
0.62,0.4,15,0.1,30,0.07,4,0.0107,0.0011,-0.2233,0.1411,0
0.52,0.35,10,0.1,45,0.0699,4,0.0098,-0.0135,-0.2299,0.142,0
0.52,0.35,20,0.12,45,0.0699,4,0.0098,-0.0119,-0.2022,0.1539,0
0.52,0.35,25,0.1,45,0.0699,4,0.0098,-0.0095,-0.2556,0.2201,0
0.55,0.35,15,0.1,45,0.0699,4,0.0098,0.0151,-0.2177,0.281,0
0.55,0.35,20,0.1,45,0.0699,4,0.0098,0.0059,-0.2415,0.2737,0
0.55,0.35,20,0.12,45,0.0699,4,0.0098,0.0131,-0.2003,0.2737,0
0.58,0.35,15,0.1,45,0.0699,4,0.0098,-0.0105,-0.2477,0.2013,0
0.58,0.35,20,0.1,45,0.0699,4,0.0098,0.005,-0.2424,0.3109,0
0.58,0.35,25,0.1,45,0.0699,4,0.0098,0.023,-0.2025,0.2826,0
0.58,0.35,25,0.12,45,0.0699,4,0.0098,0.0343,-0.2084,0.2826,0
0.62,0.4,20,0.1,45,0.0696,4,0.0079,0.0168,-0.2181,0.2376,0
0.48,0.4,25,0.1,45,0.0692,4,0.0051,-0.0242,-0.2667,0.1382,0
0.62,0.4,20,0.07,30,0.0692,4,0.0053,-0.0194,-0.2621,0.2039,0
0.62,0.4,20,0.07,45,0.0692,4,0.0053,-0.0266,-0.2621,0.2003,0
0.62,0.42,20,0.07,30,0.0692,4,0.0053,-0.0446,-0.2905,0.0567,0
0.62,0.42,20,0.07,45,0.0692,4,0.0053,-0.0504,-0.2905,0.0536,0
0.58,0.3,10,0.12,45,0.0691,4,0.0048,0.001,-0.2035,0.204,0
0.58,0.3,15,0.12,45,0.0691,4,0.0048,0.001,-0.2035,0.204,0
0.58,0.3,20,0.12,45,0.0691,4,0.0048,0.0148,-0.2035,0.3138,0
0.58,0.3,25,0.12,45,0.0691,4,0.0048,0.0112,-0.2035,0.2855,0
0.48,0.35,20,0.07,45,0.0687,4,0.002,-0.0285,-0.2224,0.1013,0
0.52,0.35,15,0.1,45,0.0687,4,0.002,-0.0238,-0.2583,0.1219,0
0.48,0.4,25,0.12,30,0.0684,4,0.0004,-0.0232,-0.2039,0.1074,0
0.48,0.42,25,0.1,45,0.0683,4,-0.0003,-0.0292,-0.2564,0.1303,0
0.48,0.35,25,0.07,45,0.0682,4,-0.0011,-0.0111,-0.2658,0.1381,0
0.52,0.42,20,0.12,30,0.0682,4,-0.0015,-0.0267,-0.2836,0.1789,0
0.48,0.4,15,0.12,30,0.0681,4,-0.0022,-0.0361,-0.2004,0.112,0
0.48,0.42,15,0.12,30,0.0681,4,-0.0021,-0.0306,-0.2373,0.112,0
0.62,0.4,15,0.07,30,0.068,4,-0.0024,-0.0142,-0.2443,0.1257,0
0.62,0.4,15,0.07,45,0.068,4,-0.0024,-0.0086,-0.2443,0.2251,0
0.62,0.42,15,0.07,30,0.068,4,-0.0024,-0.0294,-0.2273,0.0697,0
0.62,0.42,15,0.07,45,0.068,4,-0.0024,-0.0248,-0.2273,0.1243,0
0.48,0.4,25,0.1,30,0.0676,4,-0.0053,-0.0248,-0.2664,0.1145,0
0.58,0.4,15,0.1,45,0.0676,4,-0.005,-0.0098,-0.2236,0.1504,0
0.62,0.35,10,0.1,30,0.0676,4,-0.0049,-0.0107,-0.2174,0.1397,0
0.52,0.35,15,0.1,30,0.0675,4,-0.0058,-0.0324,-0.2035,0.0873,0
0.58,0.35,10,0.1,45,0.0675,4,-0.0056,-0.0136,-0.2177,0.2013,0
0.48,0.3,10,0.1,30,0.0666,3,-0.0176,-0.0006,-0.0719,0.1244,0
0.48,0.42,15,0.12,45,0.0666,4,-0.0118,-0.0164,-0.2373,0.1843,0
0.52,0.42,15,0.1,30,0.0659,4,-0.0169,-0.0401,-0.2724,0.1017,0
0.48,0.4,20,0.12,30,0.0657,4,-0.0182,-0.0272,-0.2535,0.1465,0
0.48,0.42,15,0.1,30,0.0655,4,-0.0195,-0.0353,-0.2714,0.1162,0
0.48,0.4,15,0.1,30,0.0654,4,-0.0196,-0.0375,-0.2632,0.1488,0
0.58,0.4,10,0.1,45,0.0652,4,-0.0211,-0.0107,-0.2109,0.1689,0
0.52,0.42,10,0.1,45,0.0643,4,-0.0274,-0.029,-0.2164,0.1086,0
0.52,0.42,15,0.1,45,0.0643,4,-0.0274,-0.0239,-0.2724,0.1742,0
0.55,0.4,20,0.1,45,0.0643,4,-0.0275,-0.0355,-0.2794,0.2024,0
0.58,0.4,20,0.1,45,0.0643,4,-0.0275,-0.0151,-0.2181,0.2376,0
0.52,0.42,15,0.12,30,0.0642,4,-0.0281,-0.0361,-0.2383,0.1017,0
0.52,0.4,15,0.1,45,0.0636,4,-0.0321,-0.0246,-0.2712,0.1742,0
0.52,0.42,10,0.1,30,0.0636,4,-0.032,-0.0551,-0.2164,0.0389,0
0.55,0.4,15,0.1,45,0.0636,4,-0.0321,-0.0087,-0.283,0.2336,0
0.58,0.4,20,0.1,30,0.0635,4,-0.0329,-0.0235,-0.2178,0.1744,0
0.55,0.4,15,0.12,45,0.0634,4,-0.0334,-0.0015,-0.2175,0.2336,0
0.48,0.4,20,0.1,30,0.0631,4,-0.0351,-0.0235,-0.2471,0.2285,0
0.52,0.4,25,0.1,45,0.0631,4,-0.0355,-0.048,-0.2472,0.1058,0
0.48,0.4,15,0.07,45,0.0623,4,-0.0408,-0.0386,-0.2492,0.2732,0
0.48,0.4,15,0.07,30,0.0622,4,-0.0415,-0.0458,-0.2492,0.1699,0
0.48,0.42,15,0.07,45,0.0619,4,-0.043,-0.0373,-0.295,0.2455,0
0.48,0.3,15,0.12,30,0.0618,3,-0.0235,0.0076,-0.0976,0.1185,0
