Date,p_up_cpcv
2016-05-06,0.5574753359856948
2016-05-09,0.6095424077437306
2016-05-10,0.6211042281563939
2016-05-11,0.6325902916981028
2016-05-12,0.561444353916239
2016-05-13,0.6007017842677432
2016-05-16,0.6010668831406007
2016-05-17,0.5415217717400138
2016-05-18,0.5508379843401916
2016-05-19,0.6345049931362094
2016-05-20,0.6345049931362094
2016-05-23,0.5258138173645299
2016-05-24,0.5516025707628651
2016-05-25,0.5516025707628651
2016-05-26,0.5349264439161253
2016-05-27,0.5349264439161253
2016-05-30,0.5516025707628651
2016-05-31,0.5349264439161253
2016-06-01,0.5533542795250822
2016-06-02,0.5533542795250822
2016-06-03,0.5524906267938157
2016-06-06,0.7259902056788465
2016-06-07,0.6460869193812238
2016-06-08,0.5469239970559416
2016-06-09,0.5820122034245958
2016-06-10,0.5614833598848525
2016-06-13,0.6047199484285118
2016-06-14,0.6047199484285118
2016-06-15,0.6047199484285118
2016-06-16,0.6071187175627336
2016-06-17,0.6047199484285118
2016-06-20,0.6132907830806336
2016-06-21,0.6133277539271716
2016-06-22,0.6024978648174064
2016-06-23,0.6252448103215583
2016-06-24,0.6109733894205364
2016-06-27,0.6134488274057486
2016-06-28,0.6423606915590641
2016-06-29,0.6088422893261103
2016-06-30,0.598567260241601
2016-07-01,0.6052832221767195
2016-07-04,0.6052832221767195
2016-07-05,0.5652165317767903
2016-07-06,0.5962782679997142
2016-07-07,0.5965233978367896
2016-07-08,0.6196137460549122
2016-07-11,0.609843346193951
2016-07-12,0.6161877707026548
2016-07-13,0.6074788182288539
2016-07-14,0.6009790352350676
2016-07-15,0.5965658988785717
2016-07-18,0.6098897602563578
2016-07-19,0.6091299202049678
2016-07-20,0.6526662802022074
2016-07-21,0.6181266102758513
2016-07-22,0.6339653105838318
2016-07-25,0.6298513484011965
2016-07-26,0.6396217482621578
2016-07-27,0.6298049343387897
2016-07-28,0.6254860271380089
2016-07-29,0.6060670417045889
2016-08-01,0.5484239677462825
2016-08-02,0.5418262117046375
2016-08-03,0.560210806984886
2016-08-04,0.5488034784403634
2016-08-05,0.6232192272667098
2016-08-08,0.6423606915590641
2016-08-09,0.6211042281563939
2016-08-10,0.6138051608422562
2016-08-11,0.6058170296297702
2016-08-12,0.6646431004590125
2016-08-15,0.6024978648174064
2016-08-16,0.4903430075840475
2016-08-17,0.6052832221767195
2016-08-18,0.6161877707026548
2016-08-19,0.6380176462231935
2016-08-22,0.6110536617756063
2016-08-23,0.6469873578582803
2016-08-24,0.5521597267200674
2016-08-25,0.5548929757782997
2016-08-26,0.5516025707628651
2016-08-29,0.5521597267200674
2016-08-30,0.5521597267200674
2016-08-31,0.5521597267200674
2016-09-01,0.5322666146446339
2016-09-02,0.6431173794100271
2016-09-05,0.6020887357424988
2016-09-06,0.5760715895868904
2016-09-07,0.5400956620266879
2016-09-08,0.6548402277018399
2016-09-09,0.5619367452854573
2016-09-12,0.5516025707628651
2016-09-13,0.5516025707628651
2016-09-14,0.5383205313807725
2016-09-15,0.5383205313807725
2016-09-16,0.5216444045340326
2016-09-19,0.5269084912776909
2016-09-20,0.49749876269997195
2016-09-21,0.5237962026918936
2016-09-22,0.5366121083095561
2016-09-23,0.5237962026918936
2016-09-26,0.6251247362295285
2016-09-27,0.5524906267938157
2016-09-28,0.5561146651436621
2016-09-29,0.5533814160854297
2016-09-30,0.5524906267938157
2016-10-03,0.5580707104374245
2016-10-04,0.5590522507334397
2016-10-05,0.5752984100050558
2016-10-06,0.5828912933645991
2016-10-07,0.5592118811018219
2016-10-10,0.585794979920914
2016-10-11,0.5545610529955736
2016-10-12,0.5349264439161253
2016-10-13,0.5354835998733275
2016-10-14,0.5349264439161253
2016-10-17,0.5612183877631767
2016-10-18,0.5627289247470688
2016-10-19,0.5354835998733275
2016-10-20,0.5354835998733275
2016-10-21,0.5354835998733275
2016-10-24,0.5354835998733275
2016-10-25,0.5354835998733275
2016-10-26,0.5354835998733275
2016-10-27,0.5349264439161253
2016-10-28,0.5216444045340326
2016-10-31,0.5521597267200674
2016-11-01,0.6057924182533018
2016-11-02,0.5748214706616788
2016-11-03,0.5761180036492972
2016-11-04,0.583417070963435
2016-11-07,0.5521597267200674
2016-11-08,0.6260045846260228
2016-11-09,0.6257994440902509
2016-11-10,0.6424071056214709
2016-11-11,0.6325902916981028
2016-11-14,0.5521597267200674
2016-11-15,0.5521597267200674
2016-11-16,0.5354835998733275
2016-11-17,0.5354835998733275
2016-11-18,0.5354835998733275
2016-11-21,0.5354835998733275
2016-11-22,0.5354835998733275
2016-11-23,0.5521597267200674
2016-11-24,0.5629640712401832
2016-11-25,0.5516025707628651
2016-11-28,0.5516025707628651
2016-11-29,0.5434127413593458
2016-11-30,0.5569783178749287
2016-12-01,0.5552266091127114
2016-12-02,0.5600414760272221
2016-12-05,0.5516025707628651
2016-12-06,0.5593858840678514
2016-12-07,0.5354835998733275
2016-12-08,0.5563190016752072
2016-12-09,0.5499068950397353
2016-12-12,0.5216444045340326
2016-12-13,0.5521597267200674
2016-12-14,0.5548929757782997
2016-12-15,0.5354835998733275
2016-12-16,0.5521597267200674
2016-12-19,0.5354835998733275
2016-12-20,0.5354835998733275
2016-12-21,0.5512470429705223
2016-12-22,0.5349264439161253
2016-12-23,0.555761845718005
2016-12-26,0.5516025707628651
2016-12-27,0.5349264439161253
2016-12-28,0.5572097909668214
2016-12-29,0.5521597267200674
2016-12-30,0.5563190016752072
2017-01-02,0.5521597267200674
2017-01-03,0.5521597267200674
2017-01-04,0.539208587411723
2017-01-05,0.5524906267938157
2017-01-06,0.5539114354822845
2017-01-09,0.6113101250792764
2017-01-10,0.6738073203607398
2017-01-11,0.6774623873292962
2017-01-12,0.5684079247301232
2017-01-13,0.6287011727281839
2017-01-16,0.6316262415432188
2017-01-17,0.5733343777933323
2017-01-18,0.5586375248691621
2017-01-19,0.581431855107113
2017-01-20,0.5906047347865974
2017-01-23,0.5806798591698767
2017-01-24,0.5757534061066678
2017-01-25,0.6133941492372199
2017-01-26,0.6789712615846518
2017-01-27,0.6668188919819438
2017-01-30,0.6424703094070147
2017-01-31,0.5783069816771796
2017-02-01,0.5733343777933323
2017-02-02,0.578940172275724
2017-02-03,0.581431855107113
2017-02-06,0.5586375248691621
2017-02-07,0.5586375248691621
2017-02-08,0.5757534061066678
2017-02-09,0.5879059965053854
2017-02-10,0.5849262857861521
2017-02-13,0.6134405632996267
2017-02-14,0.6134405632996267
2017-02-15,0.5850085000291413
2017-02-16,0.575736469258556
2017-02-17,0.5684079247301232
2017-02-20,0.5758929349082148
2017-02-21,0.5849262857861521
2017-02-22,0.5757534061066678
2017-02-23,0.5849262857861521
2017-02-24,0.5849262857861521
2017-02-27,0.5757534061066678
2017-02-28,0.6134405632996267
2017-03-01,0.6134405632996267
2017-03-02,0.6423644804732385
2017-03-03,0.6472090357412841
2017-03-06,0.633855444054563
2017-03-07,0.63057416893692
2017-03-08,0.5274300658175148
2017-03-09,0.49529697725399613
2017-03-10,0.5516025707628651
2017-03-13,0.5105065593625292
2017-03-14,0.5516025707628651
2017-03-15,0.5516025707628651
2017-03-16,0.5248460737837561
2017-03-17,0.5469428677038614
2017-03-20,0.616190343429763
2017-03-21,0.6190747671461481
2017-03-22,0.5810721120749566
2017-03-23,0.6020578634602194
2017-03-24,0.5757534061066678
2017-03-27,0.5684079247301232
2017-03-28,0.5877347047843903
2017-03-29,0.5808193879714239
2017-03-30,0.5898527388493611
2017-03-31,0.6183670163628358
2017-04-03,0.5179574547340976
2017-04-04,0.5106782371976
2017-04-05,0.5555282323063764
2017-04-06,0.5635958543097452
2017-04-07,0.5185024354155451
2017-04-10,0.5258617751329037
2017-04-11,0.5512093251055956
2017-04-12,0.5542722036059745
2017-04-13,0.5588787416856127
2017-04-14,0.5512557391680024
2017-04-17,0.5542722036059745
2017-04-18,0.5586375248691621
2017-04-19,0.6011738316283901
2017-04-20,0.6234248839213803
2017-04-21,0.5493048768085627
2017-04-24,0.5690407430648714
2017-04-25,0.5976596278882736
2017-04-26,0.5575135544802222
2017-04-27,0.5563190016752072
2017-04-28,0.5563190016752072
2017-05-01,0.5533542795250822
2017-05-02,0.5543358198210975
2017-05-03,0.5593020985907955
2017-05-04,0.5560875285833147
2017-05-05,0.5634613735459355
2017-05-08,0.5553221214920057
2017-05-09,0.59312996637552
2017-05-10,0.5560875285833147
2017-05-11,0.5543358198210975
2017-05-12,0.5558792774492078
2017-05-15,0.5516025707628651
2017-05-16,0.5216444045340326
2017-05-17,0.5578295386590993
2017-05-18,0.5888182557088204
2017-05-19,0.5849053697404443
2017-05-22,0.5792670622528221
2017-05-23,0.5514506515704246
2017-05-24,0.5888338042324917
2017-05-25,0.5788840530941645
2017-05-26,0.5849604846919713
2017-05-29,0.5810609586071929
2017-05-30,0.6248787108876991
2017-05-31,0.5635639779323711
2017-06-01,0.5757534061066678
2017-06-02,0.5586375248691621
2017-06-05,0.5586375248691621
2017-06-06,0.5757534061066678
2017-06-07,0.5659830062457065
2017-06-08,0.6119631754555674
2017-06-09,0.6134405632996267
2017-06-12,0.5416109363962069
2017-06-13,0.5543358198210975
2017-06-14,0.5707193505230602
2017-06-15,0.5560875285833147
2017-06-16,0.5593020985907955
2017-06-19,0.5593020985907955
2017-06-20,0.5563662795306017
2017-06-21,0.5539114354822845
2017-06-22,0.5539114354822845
2017-06-23,0.5598592545479978
2017-06-26,0.5560875285833147
2017-06-27,0.5410537804390048
2017-06-28,0.5516025707628651
2017-06-29,0.5543358198210975
2017-06-30,0.5543358198210975
2017-07-03,0.5928042835102104
2017-07-04,0.5955375325684427
2017-07-05,0.5589244842709034
2017-07-06,0.5913782576133029
2017-07-07,0.5941162680464281
2017-07-10,0.5813081752640707
2017-07-11,0.5560875285833147
